CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,75,2,151,53,72,26,13,18,9,298,19,18,12,5,0,2,4,0,0,0,,,,,,700,2,15,717,954
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,76,3,140,69,208,38,22,21,11,462,16,17,20,5,0,1,17,4,3,1,,,,,,1055,2,26,1083,1624
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,77,2,129,71,104,33,33,20,15,404,14,18,19,4,0,0,12,5,3,2,,,,,,886,1,33,920,1294
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,78,2,131,48,56,18,16,9,9,301,17,14,14,4,0,4,7,5,1,2,,,,,,656,1,12,669,972
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,79,6,518,233,344,106,82,71,38,1295,50,69,50,6,0,7,50,4,1,3,,,,,,2927,7,52,2986,4013
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,80,2,105,58,88,11,13,16,9,287,17,20,10,0,0,1,8,3,0,6,,,,,,652,2,10,664,931
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,81,2,121,61,87,14,13,10,11,289,5,14,13,4,0,2,10,4,0,0,,,,,,658,0,21,679,960
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,82,3,209,67,136,32,22,30,19,617,19,20,20,3,0,2,10,1,0,0,,,,,,1207,0,23,1230,1740
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,83,2,151,54,60,21,10,16,10,314,9,7,7,3,0,2,10,1,0,0,,,,,,675,2,21,698,1001
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,84,3,234,94,110,48,18,21,15,481,18,21,17,3,1,2,9,7,1,2,,,,,,1102,2,31,1135,1613
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,85,2,171,79,65,26,12,9,8,248,7,13,11,2,0,1,9,1,0,0,,,,,,662,0,17,679,907
