Date,FIX,"Published in
DOF","In order to pay
obligations"
10/15/1993,3.1140,3.1135,3.1129
10/16/1993,N/E,N/E,3.1135
10/17/1993,N/E,N/E,3.1135
10/18/1993,3.1123,3.1140,3.1135
10/19/1993,3.1125,3.1123,3.1140
10/20/1993,3.1115,3.1125,3.1123
10/21/1993,3.1120,3.1115,3.1125
10/22/1993,3.1125,3.1120,3.1115
10/23/1993,N/E,N/E,3.1120
10/24/1993,N/E,N/E,3.1120
10/25/1993,3.1135,3.1125,3.1120
10/26/1993,3.1135,3.1135,3.1125
10/27/1993,3.1176,3.1135,3.1135
10/28/1993,3.1293,3.1176,3.1135
10/29/1993,3.1259,3.1293,3.1176
10/30/1993,N/E,N/E,3.1293
10/31/1993,N/E,N/E,3.1293
11/01/1993,N/E,3.1259,3.1293
11/02/1993,N/E,N/E,3.1259
11/03/1993,3.1481,N/E,N/E
11/04/1993,3.1476,3.1481,N/E
11/05/1993,3.1520,3.1476,3.1481
11/06/1993,N/E,N/E,3.1476
11/07/1993,N/E,N/E,3.1476
11/08/1993,3.1520,3.1520,3.1476
11/09/1993,3.2450,3.1520,3.1520
11/10/1993,3.2400,3.2450,3.1520
11/11/1993,3.2163,3.2400,3.2450
11/12/1993,3.2325,3.2163,3.2400
11/13/1993,N/E,N/E,3.2163
11/14/1993,N/E,N/E,3.2163
11/15/1993,3.2125,3.2325,3.2163
11/16/1993,3.1850,3.2125,3.2325
11/17/1993,3.1608,3.1850,3.2125
11/18/1993,3.1114,3.1608,3.1850
11/19/1993,3.1148,3.1114,3.1608
11/20/1993,N/E,N/E,3.1114
11/21/1993,N/E,N/E,3.1114
11/22/1993,3.1010,3.1148,3.1114
11/23/1993,3.1003,3.1010,3.1148
11/24/1993,3.1021,3.1003,3.1010
11/25/1993,3.1168,3.1021,3.1003
11/26/1993,3.1125,3.1168,3.1021
11/27/1993,N/E,N/E,3.1168
11/28/1993,N/E,N/E,3.1168
11/29/1993,3.1065,3.1125,3.1168
11/30/1993,3.1042,3.1065,3.1125
12/01/1993,3.1034,3.1042,3.1065
12/02/1993,3.1037,3.1034,3.1042
12/03/1993,3.1036,3.1037,3.1034
12/04/1993,N/E,N/E,3.1037
12/05/1993,N/E,N/E,3.1037
12/06/1993,3.1052,3.1036,3.1037
12/07/1993,3.1047,3.1052,3.1036
12/08/1993,3.1047,3.1047,3.1052
12/09/1993,3.1075,3.1047,3.1047
12/10/1993,3.1169,3.1075,3.1047
12/11/1993,N/E,N/E,3.1075
12/12/1993,N/E,N/E,3.1075
12/13/1993,3.1130,3.1169,3.1075
12/14/1993,3.1118,3.1130,3.1169
12/15/1993,3.1065,3.1118,3.1130
12/16/1993,3.1053,3.1065,3.1118
12/17/1993,3.1055,3.1053,3.1065
12/18/1993,N/E,N/E,3.1053
12/19/1993,N/E,N/E,3.1053
12/20/1993,3.1114,3.1055,3.1053
12/21/1993,3.1111,3.1114,3.1055
12/22/1993,3.1155,3.1111,3.1114
12/23/1993,3.1110,3.1155,3.1111
12/24/1993,3.1059,3.1110,3.1155
12/25/1993,N/E,N/E,3.1110
12/26/1993,N/E,N/E,3.1110
12/27/1993,3.1056,3.1059,3.1110
12/28/1993,3.1059,3.1056,3.1059
12/29/1993,3.1099,3.1059,3.1056
12/30/1993,3.1071,3.1099,3.1059
12/31/1993,N/E,3.1071,3.1099
01/01/1994,N/E,N/E,3.1071
01/02/1994,N/E,N/E,3.1071
01/03/1994,3.1075,N/E,3.1071
01/04/1994,3.1129,3.1075,N/E
01/05/1994,3.1060,3.1129,3.1075
01/06/1994,3.1057,3.1060,3.1129
01/07/1994,3.1057,3.1057,3.1060
01/08/1994,N/E,N/E,3.1057
01/09/1994,N/E,N/E,3.1057
01/10/1994,3.1150,3.1057,3.1057
01/11/1994,3.1098,3.1150,3.1057
01/12/1994,3.1094,3.1098,3.1150
01/13/1994,3.1061,3.1094,3.1098
